precipi,precipm,datetime
0.04,1.0,"2011-09-06 10:36:00"
0.04,1.0,"2011-09-06 10:51:00"
0.04,1.0,"2011-09-06 11:32:00"
0.05,1.3,"2011-09-06 11:40:00"
0.06,1.5,"2011-09-06 11:51:00"
0.02,0.5,"2011-09-06 12:06:00"
0.15,3.8,"2011-09-06 12:17:00"
0.19,4.8,"2011-09-06 12:26:00"
0.29,7.4,"2011-09-06 12:35:00"
0.33,8.4,"2011-09-06 12:44:00"
0.35,8.9,"2011-09-06 12:51:00"
0.01,0.3,"2011-09-06 12:57:00"
0.03,0.8,"2011-09-06 13:09:00"
0.05,1.3,"2011-09-06 13:37:00"
0.07,1.8,"2011-09-06 13:51:00"
0.02,0.5,"2011-09-06 14:00:00"
0.12,3.0,"2011-09-06 14:24:00"
0.20,5.1,"2011-09-06 14:43:00"
0.21,5.3,"2011-09-06 14:51:00"
0.01,0.3,"2011-09-06 14:54:00"
0.03,0.8,"2011-09-06 15:03:00"
0.03,0.8,"2011-09-06 15:05:00"
0.07,1.8,"2011-09-06 15:14:00"
0.10,2.5,"2011-09-06 15:28:00"
0.12,3.0,"2011-09-06 15:44:00"
0.14,3.6,"2011-09-06 15:51:00"
0.04,1.0,"2011-09-06 16:09:00"
0.13,3.3,"2011-09-06 16:48:00"
0.15,3.8,"2011-09-06 16:51:00"
0.12,3.0,"2011-09-06 17:20:00"
0.26,6.6,"2011-09-06 17:48:00"
0.27,6.9,"2011-09-06 17:51:00"
0.28,7.1,"2011-09-06 18:19:00"
0.62,15.7,"2011-09-06 18:51:00"
0.35,8.9,"2011-09-06 19:30:00"
0.41,10.4,"2011-09-06 19:38:00"
0.50,12.7,"2011-09-06 19:51:00"
0.07,1.8,"2011-09-06 20:09:00"
0.15,3.8,"2011-09-06 20:51:00"
0.08,2.0,"2011-09-06 21:51:00"
0.01,0.3,"2011-09-06 22:22:00"
0.02,0.5,"2011-09-06 22:51:00"
0.01,0.3,"2011-09-06 23:21:00"
0.02,0.5,"2011-09-06 23:51:00"
